IndicatorId,Indicator Name,CategoryId,Category
AFR0001,Average life expectancy at birth (in years),8,Male
AFR0001,Average life expectancy at birth (in years),9,Female
AFR0001,Average life expectancy at birth (in years),28,Both sexes (male and female)
AFR0002,Healthy life expectancy at birth (in years),8,Male
AFR0002,Healthy life expectancy at birth (in years),9,Female
AFR0002,Healthy life expectancy at birth (in years),28,Both sexes (male and female)
AFR0003,Life expectancy at age 60 years,8,Male
AFR0003,Life expectancy at age 60 years,9,Female
AFR0003,Life expectancy at age 60 years,28,Both sexes (male and female)
AFR0004,Population size (in thousands) total,8,Male
AFR0004,Population size (in thousands) total,9,Female
AFR0004,Population size (in thousands) total,28,Both sexes (male and female)
AFR0004,Population size (in thousands) total,29,Total
AFR0005,Crude death rate (per 1 000 mid-year population),28,Both sexes (male and female)
AFR0006,Adolescent mortality rate (per 100 000 adolescent population),8,Male
AFR0006,Adolescent mortality rate (per 100 000 adolescent population),9,Female
AFR0006,Adolescent mortality rate (per 100 000 adolescent population),28,Both sexes (male and female)
AFR0007,Adult mortality rate between 15 and 60 years of age (per 1000 population),8,Male
AFR0007,Adult mortality rate between 15 and 60 years of age (per 1000 population),9,Female
AFR0007,Adult mortality rate between 15 and 60 years of age (per 1000 population),28,Both sexes (male and female)
AFR0008,Under-five mortality rate (per 1 000 live births)-[SDG 3.2.1],3,Under Fives ( 0-4 Years)
AFR0008,Under-five mortality rate (per 1 000 live births)-[SDG 3.2.1],8,Male
AFR0008,Under-five mortality rate (per 1 000 live births)-[SDG 3.2.1],9,Female
AFR0008,Under-five mortality rate (per 1 000 live births)-[SDG 3.2.1],11,Rural
AFR0008,Under-five mortality rate (per 1 000 live births)-[SDG 3.2.1],12,Urban
AFR0008,Under-five mortality rate (per 1 000 live births)-[SDG 3.2.1],28,Both sexes (male and female)
AFR0008,Under-five mortality rate (per 1 000 live births)-[SDG 3.2.1],70,0-4 years
AFR0008,Under-five mortality rate (per 1 000 live births)-[SDG 3.2.1],1090,Both sexes 0-5 years
AFR0009,Infant mortality rate (per 1 000 live births),2,Infants (0-11 Months)
AFR0009,Infant mortality rate (per 1 000 live births),8,Male
AFR0009,Infant mortality rate (per 1 000 live births),9,Female
AFR0009,Infant mortality rate (per 1 000 live births),11,Rural
AFR0009,Infant mortality rate (per 1 000 live births),12,Urban
AFR0009,Infant mortality rate (per 1 000 live births),28,Both sexes (male and female)
AFR0010,Neonatal mortality rate (per 1 000 live births)-[SDG 3.2.2],1,Neonate (0-28 Days)
AFR0010,Neonatal mortality rate (per 1 000 live births)-[SDG 3.2.2],8,Male
AFR0010,Neonatal mortality rate (per 1 000 live births)-[SDG 3.2.2],9,Female
AFR0010,Neonatal mortality rate (per 1 000 live births)-[SDG 3.2.2],11,Rural
AFR0010,Neonatal mortality rate (per 1 000 live births)-[SDG 3.2.2],12,Urban
AFR0010,Neonatal mortality rate (per 1 000 live births)-[SDG 3.2.2],28,Both sexes (male and female)
AFR0010,Neonatal mortality rate (per 1 000 live births)-[SDG 3.2.2],1004,Both sexes (0-28 Days)
AFR0011,Stillbirth rate (per 1000 total births),2,Infants (0-11 Months)
AFR0011,Stillbirth rate (per 1000 total births),9,Female
AFR0011,Stillbirth rate (per 1000 total births),11,Rural
AFR0011,Stillbirth rate (per 1000 total births),12,Urban
AFR0011,Stillbirth rate (per 1000 total births),28,Both sexes (male and female)
AFR0011,Stillbirth rate (per 1000 total births),29,Total
AFR0011,Stillbirth rate (per 1000 total births),1051,<20years
AFR0011,Stillbirth rate (per 1000 total births),1052,20-29 years
AFR0011,Stillbirth rate (per 1000 total births),1053,30-39 years
AFR0011,Stillbirth rate (per 1000 total births),1054,40-49 years
AFR0012,"Maternal mortality ratio (per 100,000 live births) [SDG 3.1.1]",9,Female
AFR0012,"Maternal mortality ratio (per 100,000 live births) [SDG 3.1.1]",29,Total
AFR0012,"Maternal mortality ratio (per 100,000 live births) [SDG 3.1.1]",66,Female (15-49 years)
AFR0013,TB mortality rate (per 100 000 population),28,Both sexes (male and female)
AFR0013,TB mortality rate (per 100 000 population),29,Total
AFR0014,AIDS-related mortality rate (per 100 000 population),28,Both sexes (male and female)
AFR0014,AIDS-related mortality rate (per 100 000 population),29,Total
AFR0015,Malaria mortality rate (per 100 000 population),28,Both sexes (male and female)
AFR0015,Malaria mortality rate (per 100 000 population),999,Not Applicable
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],6,Adult (15+ Years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],8,Male
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],9,Female
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],28,Both sexes (male and female)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],35,Male (15-24 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],36,Female (15-24 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],37,Both sexes (15-24 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],42,Female (15+ years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],45,Male (15+ years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],105,Male (85+ years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],123,Female (85+ years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],999,Not Applicable
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1107,Both sexes (85+ years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1108,Both sexes (25-34 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1109,Both sexes (35-44 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1110,Both sexes (45-54 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1111,Both sexes (55-64 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1112,Both sexes (65-74 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1113,Both sexes (75-84 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1114,Female (25-34 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1115,Female (35-44 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1116,Female (45-54 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1117,Female (55-64 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1118,Female (65-74 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1120,Male (25-34 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1121,Male (35-44 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1122,Male (45-54 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1123,Male (55-64 years)
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1124,Male (65-74 years)
